id,key,subject,sender,recipient,date,msg,tags,concepts,class
201,odbc://SAS_1970s/dbo.SAS_Docs/1538774,BRITISH REACTION TO REQUEST FOR AIR COVER FOR GREEK TROOPS,STATE,ANKARA NICOSIA,15-Aug-74,,"PFOR, MOPS, CY, GR, UK","AIR TRANSPORTATION, MILITARY AIRCRAFT, FOREIGN POLICY POSITION,  COMBAT OPERATIONS",SECRET
202,odbc://SAS_1970s/dbo.SAS_Docs/1540616,ROCK RELATIONS WITH SOUTHEAST ASIA - VIEW FROM BURMA,RANGOON,STATE,15-Aug-74,,"PFOR, TW, BM, US, IBMND","FOREIGN RELATIONS, TROOP DEPLOYMENT, DRUG CONTROL, BUSINESS FIRMS,  POLITICAL SITUATION",SECRET
203,odbc://SAS_1970s/dbo.SAS_Docs/1554358,,HAMILTON,STATE,14-Aug-74,,"PFOR, CPRS, CASC","DRUG TRAFFIC, COCAINE, ARRESTS, TRIALS",LIMITED OFFICIAL USE
204,odbc://SAS_1970s/dbo.SAS_Docs/1597664,"PRIVATE TRAVEL TO THE PRC (U) A. DEPT OF STATE AIRGRAM A-4085, 10 MAY  73.",HONG KONG,STATE,9-Aug-74,,"ASEC, HK",n/a,LIMITED OFFICIAL USE
205,odbc://SAS_1970s/dbo.SAS_Docs/1597684,BRITISH INTELLIGENCE REPORT,GENEVA,STATE,9-Aug-74,,"PFOR, PINR, CY, TU, (CALLAGHAN)","REPORTS, INTELLIGENCE ASSESSMENTS, COMBAT OPERATIONS, INVASIONS",SECRET
206,odbc://SAS_1970s/dbo.SAS_Docs/1543827,UTAPAO BASED P-3 RECONNAISSANCE FLIGHTS OVER INDIAN OCEAN,WELLINGTON,BANGKOK STATE,14-Aug-74,,"PFOR, MOPS, NZ, TH, US, XO","INDIAN OCEAN ZONE OF PEACE, SURVEILLANCE, COLLECTIVE SECURITY,  MILITARY PLANS, OBSERVATION AIRCRAFT, MILITARY BASES, UTAPAO",SECRET
207,odbc://SAS_1970s/dbo.SAS_Docs/1600172,DON JUAN'S REQUEST TO SEE U.S. CHARGE LISBON,LISBON,STATE MADRID,9-Aug-74,,"PFOR, OTRA, SP, (JUAN, DON)",ITINERARY,SECRET
208,odbc://SAS_1970s/dbo.SAS_Docs/1544987,,STATE,OECD PARIS,14-Aug-74,,"ESTC, GC, COCOM",,CONFIDENTIAL
209,odbc://SAS_1970s/dbo.SAS_Docs/1545000,,STATE,OECD PARIS,14-Aug-74,,"ESTC, GE, RO, COCOM",,CONFIDENTIAL
210,odbc://SAS_1970s/dbo.SAS_Docs/1544993,,STATE,OECD PARIS,14-Aug-74,,"ESTC, GE, RO, COCOM",,CONFIDENTIAL
211,odbc://SAS_1970s/dbo.SAS_Docs/1600770,NEWS MEDIA INTERVIEW WITH MACT DTL,VIENTIANE,CINCPAC PA LNO BANGKOK IMMEDIATE,8-Aug-74,,"SOPN, MASS, MARR, LA, US, CB","MILITARY TRAINING, MILITARY ASSISTANCE, MILITARY PERSONNEL, PRESS  CONFERENCES, MILITARY PLANS",CONFIDENTIAL
212,odbc://SAS_1970s/dbo.SAS_Docs/1601273,US NAVY MARITIME SURVEILLANCE TESTS,STATE,ROME,8-Aug-74,,"MPOL, PINR, US, IT","SURVEILLANCE, AERIAL RECONNAISSANCE, MILITARY AIRCRAFT, SHIP  MOVEMENTS, MILITARY PLANS, GOVERNMENT REACTIONS",SECRET
213,odbc://SAS_1970s/dbo.SAS_Docs/1550640,,OECD PARIS,STATE,14-Aug-74,,"ESTC, CH, UK, US, COCOM",,CONFIDENTIAL
214,odbc://SAS_1970s/dbo.SAS_Docs/1548594,,STATE,OECD PARIS,14-Aug-74,,"ESTC, GE, GC, COCOM",,CONFIDENTIAL
215,odbc://SAS_1970s/dbo.SAS_Docs/1563225,TRAVEL OF CONVICTED DRUG TRAFFICKER,WELLINGTON,INS MANILA,13-Aug-74,,"SNAR, CVIS, NZ, (MILES, KEVIN J)","DRUG TRAFFIC, DRUG CONTROL",LIMITED OFFICIAL USE
216,odbc://SAS_1970s/dbo.SAS_Docs/1561725,,STATE,OECD PARIS,13-Aug-74,,"ESTC, US, COCOM",,CONFIDENTIAL
217,odbc://SAS_1970s/dbo.SAS_Docs/1561824,AGRICULTURE AND SCIENCE AND TECHNOLOGY WORKING GROUPS VISIT TO SAUDI  ARABIA,STATE,JIDDA,13-Aug-74,,"ELAB, EAID, PFOR, SA, US","TECHNICAL ASSISTANCE, PERSONNEL TRAINING, VISITS, GOVERNMENT AGENCIES",CONFIDENTIAL
218,odbc://SAS_1970s/dbo.SAS_Docs/1561718,,STATE,OECD PARIS,13-Aug-74,,"ESTC, US, COCOM",,CONFIDENTIAL
219,odbc://SAS_1970s/dbo.SAS_Docs/1569975,CYPRUS: CURRENT TURKISH SCENE GENEVA FOR HARTMAN,ANKARA,STATE,13-Aug-74,,"PFOR, CY, TU, GR, US","POLITICAL SETTLEMENT, PEACE TALKS, NEGOTIATIONS",SECRET
220,odbc://SAS_1970s/dbo.SAS_Docs/1569969,MESSAGE FOR THE PRIME MINISTER,ATHENS,STATE,13-Aug-74,,"PFOR, GR, TU, CY","INSTRUCTION, POLITICAL SITUATION",SECRET
221,odbc://SAS_1970s/dbo.SAS_Docs/1609950,,LONDON,STATE,8-Aug-74,,"PFOR, UK, CI, (ALLENDE)",,CONFIDENTIAL
222,odbc://SAS_1970s/dbo.SAS_Docs/1611075,DON JUAN'S REQUEST TO SEE U.S. CHARGE LISBON,MADRID,STATE,8-Aug-74,,"PFOR, SP","MONARCHY, POLITICAL SITUATION, MEETINGS, DEPARTMENTAL COMMUNICATIONS,  COMMUNICATIONS INTERCEPTS",SECRET
223,odbc://SAS_1970s/dbo.SAS_Docs/1561713,,STATE,OECD PARIS,13-Aug-74,,"ESTC, US, COCOM",,CONFIDENTIAL
224,odbc://SAS_1970s/dbo.SAS_Docs/1561705,,STATE,OECD PARIS,13-Aug-74,,"ESTC, US, COCOM",,CONFIDENTIAL
225,odbc://SAS_1970s/dbo.SAS_Docs/1615104,TANGOV DETENTION OF AMERICANS,DAR ES SALAAM,STATE,8-Aug-74,,"CASC, PINS, TZ, US, (FINLAYSON, THOMAS), (PATTILO, DANIEL)",DETENTION,LIMITED OFFICIAL USE
226,odbc://SAS_1970s/dbo.SAS_Docs/1560552,IDDLE EAST MILITARY POSTURES,STATE,AMMAN MULTIPLE,13-Aug-74,,"PINR, MARR, EG, IS, SY","PRESS COMMENTS, MILITARY BUILDUP, GROUND FORCES, ALLEGATIONS",SECRET
227,odbc://SAS_1970s/dbo.SAS_Docs/1682653,AMBASSADOR'S TRANSFER,STATE,SANAA,20-Aug-74,,"APER, OTRA, PDIP, (CRAWFORD, WILLIAM R)","AMBASSADORS, PERSONNEL APPOINTMENTS",LIMITED OFFICIAL USE
228,odbc://SAS_1970s/dbo.SAS_Docs/1455529,AMBASSADOR'S DISCUSSION ON NARCOTICS,QUITO,STATE,23-Aug-74,,"SNAR, EC, US, (ADUM ADUM), (GONZALEZ-PEREZ)","DRUG TRAFFIC, DIPLOMATIC DISCUSSIONS, PRISONERS",CONFIDENTIAL
229,odbc://SAS_1970s/dbo.SAS_Docs/1455494,OPRED - JUSTICE/DEA REQUEST FOR INCREASED OVERSEAS STAFFING,QUITO,STATE,23-Aug-74,,"OGEN, SNAR, APER, EC",n/a,CONFIDENTIAL
230,odbc://SAS_1970s/dbo.SAS_Docs/1448113,PERUVIAN ARMAMENT PURCHASES FOR ARA AND ARA/EP,LIMA,STATE,24-Aug-74,,"MCAP, PE","ARMS, PROCUREMENT",SECRET
231,odbc://SAS_1970s/dbo.SAS_Docs/1569428,,LA PAZ,n/a,13-Aug-74,,"SNAR, US, BL, DEA, (SAUMA, SALIM)","DRUG CONTROL, INSTRUCTIONS, DRUG TRAFFIC, POLICE INVESTIGATIONS,  ARRESTS",LIMITED OFFICIAL USE
232,odbc://SAS_1970s/dbo.SAS_Docs/1617116,VIETNAMESE EMBASSY INQUIRY ON SOVIET PHOTOGRAPHER ORGANIZATION,STATE,LONDON,7-Aug-74,,"PINR, UR, VS, VN, SEMAPHORE PHOTOGRAPHER ASSOCIATION, (SHERBOVITCH,  VLADIMIR)","BUSINESS REPUTATION, PHOTOGRAPHY",CONFIDENTIAL
233,odbc://SAS_1970s/dbo.SAS_Docs/1566746,PRC MEDIA AND LOCAL HONG KONG COMMUNIST PAPERS ON THE NEW US PRESIDENT  AND SINO-US RELATIONS,HONG KONG,STATE,13-Aug-74,,"PFOR, CH, HK, US, (FORD, GERALD R)","PRESS COMMENTS, PRESIDENTIAL SUCCESSION",SECRET
234,odbc://SAS_1970s/dbo.SAS_Docs/1566641,CYPRUS,GENEVA,STATE,13-Aug-74,,"PFOR, CY, (CLERIDES, GLAFCOS), (DENKTASH, FAUF)","TEXT, FOREIGN POLICY POSITION, FORM OF GOVERNMENT, PUBLIC  ADMINISTRATION, PARTITION",SECRET
235,odbc://SAS_1970s/dbo.SAS_Docs/1567047,,OECD PARIS,STATE,13-Aug-74,,"ESTC, CH, JA, COCOM","STEEL, STRATEGIC TRADE CONTROLS, INDUSTRIAL PLANTS",CONFIDENTIAL
236,odbc://SAS_1970s/dbo.SAS_Docs/1567061,"US EXCEPTION REQUESTS WITH EXPIRY OF AUGUST 13 DATE LIMITE, FOLLOWING  EXCEP-",OECD PARIS,STATE,13-Aug-74,,"ESTC, PL, RO, US, UR, COCOM","ELECTRONIC EQUIPMENT, STRATEGIC TRADE CONTROLS, LASERS",CONFIDENTIAL
237,odbc://SAS_1970s/dbo.SAS_Docs/1488355,INTERESTED PARTY TELEGRAM: DROBOT CASE,NEW DELHI,STATE,21-Aug-74,,"PFOR, EFIN, CASC, IN, WESTINGHOUSE, (DROBOT, JAN)",,LIMITED OFFICIAL USE
238,odbc://SAS_1970s/dbo.SAS_Docs/1504958,,BANGKOK,STATE,20-Aug-74,,ASEC,n/a,LIMITED OFFICIAL USE
239,odbc://SAS_1970s/dbo.SAS_Docs/1497717,INTERESTED PARTY TELEGRAM: DROBOT CASE,NEW DELHI,STATE,20-Aug-74,,"PFOR, CASC, IN, WESTINGHOUSE, (DROBOT, JAN)",,LIMITED OFFICIAL USE
240,odbc://SAS_1970s/dbo.SAS_Docs/1521001,VISIT TO YERALOKKAS STATION,NICOSIA,STATE,30-Aug-74,,"PINT, MOPS, CY","CONSTRUCTION, VISITS, HIGHWAYS",CONFIDENTIAL
241,odbc://SAS_1970s/dbo.SAS_Docs/1545252,DOD ELEMENTS CONSIDERED UNDER AMBASSADOR'S AUTHORITY,TAIPEI,STATE,14-Aug-74,,"MARR, MASS, TW","MILITARY PERSONNEL, PERSONNEL MANAGEMENT",SECRET
242,odbc://SAS_1970s/dbo.SAS_Docs/1497985,HANGES IN PARTICIPANTS OF SCIENCE AND TECHNOLOGY WORKING GROUP,STATE,JIDDA,20-Aug-74,,"TPHY, SA, US, (FREGEAU, JEROME J)","INTERGOVERNMENTAL COOPERATION, MEETING DELEGATIONS",CONFIDENTIAL
243,odbc://SAS_1970s/dbo.SAS_Docs/1504773,LIBYAN CRUDE OIL PRODUCTION,TRIPOLI,STATE,19-Aug-74,,"ENRG, LY","PETROLEUM PRODUCTION, PETROLEUM INDUSTRY, PRICES",SECRET
244,odbc://SAS_1970s/dbo.SAS_Docs/1508419,"MEETING WITH GENERAL KRIT SIWARA, RTA CINC",STATE,USSAG NKP,19-Aug-74,,"MILI, TH, US, (KRIT SIWARA)","MILITARY PERSONNEL, SOCIAL RECEPTIONS",SECRET
245,odbc://SAS_1970s/dbo.SAS_Docs/1514377,"MEETING WITH GENERAL KRIT SIWARA, RTA CINC",BANGKOK,STATE,19-Aug-74,,"MILI, MCAP, TH, US, (KRIT SIWARA)","ALLIANCE, DIPLOMATIC DISCUSSIONS, MILITARY BASES",SECRET
246,odbc://SAS_1970s/dbo.SAS_Docs/1570738,VISIT TO DIEGO GARCIA,BANGKOK,n/a,13-Aug-74,,"MOPS, PFOR, US, XO, (CHATCHAI)","INDIAN OCEAN ZONE OF PEACE, MILITARY PERSONNEL, MILITARY VISITS,  DIEGO GARCIA, OBSERVATION AIRCRAFT",CONFIDENTIAL
247,odbc://SAS_1970s/dbo.SAS_Docs/1630318,GFT: FUGITIVES,SANTIAGO,CARACAS,29-Aug-74,,"SNAR, CI","EXPULSION, INSTRUCTIONS, FUGITIVES, POLICE FORCES, ARRESTS,  NEGOTIATIONS",SECRET
248,odbc://SAS_1970s/dbo.SAS_Docs/1630371,,STATE,GOVERNOR CANAL ZONE,29-Aug-74,,"SREF, CVIS, PN",n/a,CONFIDENTIAL
249,odbc://SAS_1970s/dbo.SAS_Docs/1573551,,STATE,OECD PARIS,12-Aug-74,,"ESTC, GE, CZ, COCOM","ELECTRONIC EQUIPMENT, STRATEGIC TRADE CONTROLS",CONFIDENTIAL
250,odbc://SAS_1970s/dbo.SAS_Docs/1573581,,STATE,OECD PARIS,12-Aug-74,,"ESTC, UK, CZ, COCOM","SPARE PARTS, STRATEGIC TRADE CONTROLS, EXCEPTIONS LIST, TAPE  RECORDERS",CONFIDENTIAL
251,odbc://SAS_1970s/dbo.SAS_Docs/1573569,,STATE,OECD PARIS,12-Aug-74,,"ESTC, US, COCOM","STRATEGIC TRADE CONTROLS, CHEMICALS",CONFIDENTIAL
252,odbc://SAS_1970s/dbo.SAS_Docs/1573557,,STATE,OECD PARIS,12-Aug-74,,"ESTC, US, COCOM","STRATEGIC TRADE CONTROLS, CHEMICALS",CONFIDENTIAL
253,odbc://SAS_1970s/dbo.SAS_Docs/1573588,,STATE,OECD PARIS,12-Aug-74,,"ESTC, UK, CH, COCOM","ELECTRONIC EQUIPMENT, STRATEGIC TRADE CONTROLS",CONFIDENTIAL
254,odbc://SAS_1970s/dbo.SAS_Docs/1572555,,TUNIS,STATE,12-Aug-74,,"PGOV, TS, (BOURGUIBA)",,CONFIDENTIAL
255,odbc://SAS_1970s/dbo.SAS_Docs/1463395,"SCHEELE, EDWARD BYRNE SCHEELE DIRECT SUBJORDINATE FROM AUGUST 1971 TO  AUGUST 1973.",CARACAS,STATE,23-Aug-74,,"ASEC, (SCHEELE, EDWARD B)",n/a,LIMITED OFFICIAL USE
256,odbc://SAS_1970s/dbo.SAS_Docs/1455694,FONSEC VICTOR GOMEZ BERGES AS POSSIBLE OAS SECGEN,SANTO DOMINGO,STATE,23-Aug-74,,"PFOR, DR, US, OAS, (GOMEZ BERGES, VICTOR)","SECRETARY GENERAL, BIOGRAPHIC INFORMATION, REGIONAL ORGANIZATIONS,  PERSONNEL APPOINTMENTS",SECRET
257,odbc://SAS_1970s/dbo.SAS_Docs/1575281,UESTIONS RAISED AT 13TH SCG MEETING,STATE,TOKYO,12-Aug-74,,"MARR, JA","COLLECTIVE SECURITY, INSTRUCTIONS, MEETINGS, FORCE & TROOP LEVELS,  MILITARY PLANS, MILITARY BASES",CONFIDENTIAL
258,odbc://SAS_1970s/dbo.SAS_Docs/1575215,SURVEY OF ROC RELATIONS WITH SOUTHEAST ASIA,TAIPEI,STATE,12-Aug-74,,"PFOR, TW, XC, MY, CH","RECOGNITION, DIPLOMATIC RELATIONS ESTABLISHMENT, POLITICAL SUMMARIES,  FOREIGN POLICY POSITION",SECRET
259,odbc://SAS_1970s/dbo.SAS_Docs/1573594,,STATE,OECD PARIS,12-Aug-74,,"ESTC, UK, PL, COCOM",STRATEGIC TRADE CONTROLS,CONFIDENTIAL
260,odbc://SAS_1970s/dbo.SAS_Docs/1573599,,STATE,OECD PARIS,12-Aug-74,,"ESTC, UK, BU, COCOM","DATA PROCESSING EQUIPMENT, STRATEGIC TRADE CONTROLS, EXCEPTIONS LIST",CONFIDENTIAL
261,odbc://SAS_1970s/dbo.SAS_Docs/1573605,,STATE,OECD PARIS,12-Aug-74,,"ESTC, GE, PL, COCOM","ELECTRONIC EQUIPMENT, STRATEGIC TRADE CONTROLS, RADIO BROADCASTING",CONFIDENTIAL
262,odbc://SAS_1970s/dbo.SAS_Docs/1578779,REDEPLOYMENT OF ATTICA-BASED HA UNITS,ATHENS,STATE,12-Aug-74,,"PFOR, MPOL, MOPS, MCAP, GR, TU, CY",FORCE & TROOP LEVELS,CONFIDENTIAL
263,odbc://SAS_1970s/dbo.SAS_Docs/1578760,CYPRUS PHASE II TALKS--STATUS REPORT,GENEVA,STATE,12-Aug-74,,"PFOR, CY","POLITICAL STABILITY, PEACE TALKS, NEGOTIATIONS",SECRET
264,odbc://SAS_1970s/dbo.SAS_Docs/1488388,ESTABLISHMENT UPPER VOLTA CDO STAFF,OUAGADOUGOU JOINT,STATE,21-Aug-74,,"APER, EAID, UV","FOREIGN ASSISTANCE PERSONNEL, FOREIGN ASSISTANCE",LIMITED OFFICIAL USE
265,odbc://SAS_1970s/dbo.SAS_Docs/1576069,,OECD PARIS,STATE,12-Aug-74,,"ESTC, UK, CZ, COCOM","SPARE PARTS, STRATEGIC TRADE CONTROLS, EXCEPTIONS LIST, TAPE  RECORDERS, EXPORT LICENSES",CONFIDENTIAL
266,odbc://SAS_1970s/dbo.SAS_Docs/1576075,,OECD PARIS,STATE,12-Aug-74,,"ESTC, US, UK, COCOM","MEETINGS, EXCEPTIONS LIST, MEETING DELEGATIONS",CONFIDENTIAL
267,odbc://SAS_1970s/dbo.SAS_Docs/1664432,ECOSOC CANDIDACY PHILIPPE BLAMONT FOR UN USYG ESA,GENEVA,STATE,2-Aug-74,,"PINR, UN, ECOSOC, ILO, (BLAMONT, PHILIPPEE)","BIOGRAPHIC INFORMATION, ELECTION CANDIDATES",CONFIDENTIAL
268,odbc://SAS_1970s/dbo.SAS_Docs/1664367,UK TRANSMITTER TERMINAL TO POLAND - IL 1517,OECD PARIS,STATE,2-Aug-74,,"ESTC, PL, UK, COCOM","TRANSMITTERS, STRATEGIC TRADE CONTROLS, END USE CHECKS, IL 1517,  RADIO EQUIPMENT, RADIO STATIONS",CONFIDENTIAL
269,odbc://SAS_1970s/dbo.SAS_Docs/1576089,,OECD PARIS,STATE,12-Aug-74,,"ESTC, UK, BU, COCOM","DATA PROCESSING EQUIPMENT, STRATEGIC TRADE CONTROLS, EXCEPTIONS LIST,  REEXPORTS",CONFIDENTIAL
270,odbc://SAS_1970s/dbo.SAS_Docs/1576083,,OECD PARIS,STATE,12-Aug-74,,"ESTC, US, JA, COCOM, IBM","LITIGATION, DOCUMENTS, PUBLIC DISCLOSURE, STRATEGIC TRADE CONTROLS,  COMPUTERS, EXCEPTIONS LIST",CONFIDENTIAL
271,odbc://SAS_1970s/dbo.SAS_Docs/1578305,,PEKING,STATE,12-Aug-74,,"PINT, CPAS, EIND, PINS, CH","PERSONAL OPINION, INDUSTRIAL PRODUCTION, ECONOMIC CONDITIONS,  DEFECTORS, POLITICAL SITUATION, INDUSTRIAL PLANTS, PUBLIC ATTITUDES, WORKING CONDITIO NS, TSINAN",CONFIDENTIAL
272,odbc://SAS_1970s/dbo.SAS_Docs/1578447,CYPRUS: GENEVA 2.,ANKARA,STATE,12-Aug-74,,"PFOR, TU, CY, GR","POLITICAL SETTLEMENT, MOBILIZATION, GOVERNMENT REACTIONS,  NEGOTIATIONS",CONFIDENTIAL
273,odbc://SAS_1970s/dbo.SAS_Docs/1577845,REES MEETING WITH MILITANT ULSTER PROTESTANTS,LONDON,STATE,12-Aug-74,,"PINT, PINS, UK, EI, (BARR, GLENN), (REES)","PRESS COMMENTS, CENTRAL LEGISLATURE, MEETINGS, CONSTITUTIONAL  CONVENTION, ELECTIONS, LEGISLATIVE ELECTIONS",CONFIDENTIAL
274,odbc://SAS_1970s/dbo.SAS_Docs/1661858,SIHANOUK'S VIEWS ON CAMBODIA AND THE UN,STATE,HONG KONG PEKING,2-Aug-74,,"PFOR, SC, CB, GE, UNSC, (SIHANOUK, NORODOM)","MEMBERSHIP, DIPLOMATIC DISCUSSIONS, GOVERNMENT IN EXILE",SECRET
275,odbc://SAS_1970s/dbo.SAS_Docs/1663516,GKR CREDENTIALS AT UNGA,PHNOM PENH,STATE,2-Aug-74,,"PFOR, CB, AR, UN","CREDENTIALS PRESENTATION, FOREIGN POLICY POSITION, NEGOTIATIONS,  PEACE PLANS",SECRET
276,odbc://SAS_1970s/dbo.SAS_Docs/1663201,BIOGRAPHIC INFORMATION ON ANTONIO ALVA ROSA COUTINHO,STATE,LUANDA,2-Aug-74,,"PINR, PINS, (COUTINHO, ANTONIO ALVA ROSA)","BIOGRAPHIC INFORMATION, PARAMILITARY FORCES, JUNTA, POLITICAL LEADERS",CONFIDENTIAL
277,odbc://SAS_1970s/dbo.SAS_Docs/1660455,UN PERSONNEL: APPOINTMENT DEPUTY EXECUTIVE DIRECTOR UNFDAC,STATE,GENEVA,2-Aug-74,,"SNAR, SW, NL, UNFDAC, (MARTENS, STEN), (DEBEUS, JACOBUS)","PERSONNEL, ELECTION CANDIDATES",CONFIDENTIAL
278,odbc://SAS_1970s/dbo.SAS_Docs/1675681,PRC GOLD SALES AND GOLD RESERVES,PEKING,STATE,1-Aug-74,,"EFIN, ETRD, CH","REPORTS, GOLD HOLDINGS, GOLD TRANSACTIONS",SECRET
279,odbc://SAS_1970s/dbo.SAS_Docs/1681670,UTAPAO-BASED P-3 RECONNAISSANCE FLIGHTS OVER THE INDIAN OCEAN,BANGKOK,KUALA LUMPUR,1-Aug-74,,"PFOR, PINT, MILI, MOPS, XO, US, TH","INDIAN OCEAN ZONE OF PEACE, SURVEILLANCE, COLLECTIVE SECURITY,  MILITARY PLANS, OBSERVATION AIRCRAFT, MILITARY BASES, UTAPAO, NEUTRAL ZONE",SECRET
280,odbc://SAS_1970s/dbo.SAS_Docs/1545277,REPORTED PRESENCE OF PATTY HEARST AND HARRISES,TEGUCIGALPA,STATE MEXICO,14-Aug-74,,"ASEC, HO",n/a,LIMITED OFFICIAL USE
281,odbc://SAS_1970s/dbo.SAS_Docs/1554399,APPOINTMENT OF ROVING AMBASSADOR FOR INTER-AMERICAN AFFAIRS: RAMIRO  ANDRADE TERAN,BOGOTA,STATE,14-Aug-74,,"PINR, CO, (ANDRADE TERAN, RAMIRO)","BIOGRAPHIC INFORMATION, PERSONNEL APPOINTMENTS, AMBASSADORS,  PERSONNEL ASSIGNMENTS, PERSONNEL MOVEMENTS",SECRET
282,odbc://SAS_1970s/dbo.SAS_Docs/1675402,MISTAKEN SHIP SUNK,STATE,USUN NEW YORK,1-Aug-74,,"MOPS, TU","NAVAL FORCES, AIR COMBAT OPERATIONS",CONFIDENTIAL
283,odbc://SAS_1970s/dbo.SAS_Docs/1673770,BIOGRAPHIC INFORMATION: MAHMUD ABD AL-GHAFFAR,STATE,CAIRO,1-Aug-74,,"PINR, EG, (AL-GHAFFAR, MAHMUD ABD)",BIOGRAPHIC INFORMATION,SECRET
284,odbc://SAS_1970s/dbo.SAS_Docs/1665784,"WILLIAM MICHAEL CONNORS, JR.",NASSAU,DEA,2-Aug-74,,"CASC, SNAR, BF, (CONNORS, WILLIAM MICHAEL JR)",n/a,LIMITED OFFICIAL USE
285,odbc://SAS_1970s/dbo.SAS_Docs/1619369,THE PRESUMED CAPTURE OF THUONG DUC DISTRICT HQS BY THE COMMUNISTS.,SAIGON,STATE,7-Aug-74,,"MILI, PINS, VS","COMBAT OPERATIONS, COMMUNISTS, MILITARY PLANS",SECRET
286,odbc://SAS_1970s/dbo.SAS_Docs/1562225,,AMMAN,STATE,14-Aug-74,,"CVIS, ASEC",n/a,CONFIDENTIAL
287,odbc://SAS_1970s/dbo.SAS_Docs/1551582,OMAN ARMS REQUEST,MUSCAT,STATE,14-Aug-74,,"MASS, MU, US","MILITARY ASSISTANCE, ARMS, MILITARY SALES, MISSILES, ANTITANK WEAPONS",SECRET
288,odbc://SAS_1970s/dbo.SAS_Docs/1551589,,MUSCAT,STATE,14-Aug-74,,"MASS, MU, US","MILITARY ASSISTANCE, ARMS, MILITARY SALES, MISSILES, ANTITANK WEAPONS",SECRET
289,odbc://SAS_1970s/dbo.SAS_Docs/1622283,WEEKLY REVIEW OF THE PEOPLE'S REPUBLIC OF CHINA NO.32 TABLE OF  CONTENTS,HONG KONG,STATE,7-Aug-74,,"PINT, PFOR, CH, XX","PRESS COMMENTS, FOREIGN RELATIONS, MARITIME LAW, WEEKLY REVIEW,  POLITICAL SUMMARIES, FOREIGN ASSISTANCE, POLITICAL SITUATION, COMMUNISTS, ISLAND CL AIMS, FISHING AGREEMENTS, TRADE AGREEMENTS, MINISTERIAL VISITS",SECRET
290,odbc://SAS_1970s/dbo.SAS_Docs/1622974,REPORTS THAT FORMER MERCENARIES WHO FOUGHT IN CONGO PREPARING TO FIGHT  FRELIMO,LONDON,STATE,7-Aug-74,,"PFOR, UK, SF, RH, PO, PU, MI, FRELIMO, (HOARE, MIKE)","REPORTS, PARAMILITARY FORCES, MERCENARIES",LIMITED OFFICIAL USE
291,odbc://SAS_1970s/dbo.SAS_Docs/1622967,RHODESIAN ELECTIONS,LONDON,STATE,7-Aug-74,,"PFOR, RH, ANC-AFRICAN NATIONAL COUNCIL","ELECTION RESULTS, RACIAL DISCRIMINATION, MINORITIES, PUBLIC ATTITUDES",CONFIDENTIAL
292,odbc://SAS_1970s/dbo.SAS_Docs/1624515,DON JUAN REQUEST TO SEE U.S. CHARGE,LISBON,STATE MADRID,7-Aug-74,,"PFOR, PINT, SP, PO, (JUAN, DON)","MONARCHY, POLITICAL SITUATION, MEETINGS",SECRET
293,odbc://SAS_1970s/dbo.SAS_Docs/1554549,: PLANNED US MILITARY AIRCRAFT FLIGHT OFF GUINEAN COAST,CONAKRY,STATE,14-Aug-74,,"PLOS, MARR, PBOR, PFOR, OCLR, GV, US","MILITARY AIRCRAFT, TERRITORIAL SEA LIMIT, MILITARY FLIGHT CLEARANCES",CONFIDENTIAL
294,odbc://SAS_1970s/dbo.SAS_Docs/1624922,SWIFT-DELTEC,BUENOS AIRES,STATE,7-Aug-74,,"BBAK, EIND, AR, US, SWIFT-DELTEC","BUSINESSMEN, CRIMES, BANKRUPTCIES, COURTS, INDUSTRIAL PLANTS, BANKERS",CONFIDENTIAL
295,odbc://SAS_1970s/dbo.SAS_Docs/1545321,,TUNIS,STATE MARSECURITYGDBN WASHDC,14-Aug-74,,"ASEC, TS",n/a,CONFIDENTIAL
296,odbc://SAS_1970s/dbo.SAS_Docs/1562273,CYPRUS SITUATION - TURKISH AIR FORCE OPERATIONS INCIRLIK,ANKARA,STATE,14-Aug-74,,"MOPS, CY, TU","AIR COMBAT OPERATIONS, MILITARY BASES, INCIRLIK",CONFIDENTIAL
297,odbc://SAS_1970s/dbo.SAS_Docs/1628493,,STATE,RANGOON,6-Aug-74,,"ASEC, BM",n/a,LIMITED OFFICIAL USE
298,odbc://SAS_1970s/dbo.SAS_Docs/1570923,"COMPLIANCE STATEMENT, COMPREHENSIVE SECURITY SURVEY, DAMASCUS",DAMASCUS,STATE,13-Aug-74,,ASEC,n/a,CONFIDENTIAL
299,odbc://SAS_1970s/dbo.SAS_Docs/1568147,MIDLINK 74 OR THE NEW ARMADA,NEW DELHI,STATE,13-Aug-74,,"MARR, IN, (KISSINGER, HENRY A)","MIDLINK 74, MILITARY EXERCISES, POLITICAL SITUATION, MINISTERIAL  VISITS",SECRET
300,odbc://SAS_1970s/dbo.SAS_Docs/1570754,SECURITY INSPECTION DAMASCUS,BEIRUT,DAMASCUS STATE,13-Aug-74,,ASEC,n/a,CONFIDENTIAL
301,odbc://SAS_1970s/dbo.SAS_Docs/1635383,BIOGRAPHIC INFORMATION ON SOVIET AMBASSADOR TO PORTUGAL,STATE,MOSCOW,6-Aug-74,,"PFOR, UR, PO, (KALININ, IVANOVICH)",BIOGRAPHIC INFORMATION,CONFIDENTIAL
